words,links,capital_words,spam_word_count,is_spam
421,2,3,0,0
234,1,0,5,0
779,3,23,8,1
645,6,23,3,1
245,2,2,2,0
93,0,0,4,0
97,2,6,8,1
155,5,9,2,0
438,1,3,5,0
55,0,6,2,0
270,1,2,0,0
176,1,8,1,0
296,2,3,1,0
241,2,19,3,1
146,1,2,0,0
269,3,0,1,0
222,2,0,0,0
71,2,8,2,0
55,2,3,2,0
982,4,15,5,1
159,2,1,2,0
47,1,8,1,0
644,2,16,2,1
318,4,25,6,1
247,2,3,2,0
197,1,10,0,0
479,1,0,1,0
65,7,15,6,1
33,2,0,5,0
146,0,2,0,0
764,6,14,10,1
166,0,0,2,0
857,7,6,9,1
164,9,25,6,1
21,0,1,1,0
138,2,11,3,1
344,1,0,0,0
757,9,30,3,1
27,2,2,0,0
635,7,23,1,1
912,2,3,5,1
252,1,2,2,0
575,5,29,3,1
94,0,1,2,0
293,1,2,1,0
250,4,19,5,1
296,1,0,1,0
194,2,0,5,0
751,6,1,9,1
68,8,2,8,1
40,4,3,0,0
448,2,10,4,0
182,0,1,1,0
260,1,0,2,0
615,9,12,4,1
856,10,13,0,1
142,2,10,3,1
240,8,0,9,1
259,2,0,2,0
580,9,26,4,1
589,10,8,8,1
312,2,2,2,0
123,9,2,6,1
23,3,0,1,0
111,2,0,3,0
874,1,1,5,1
618,6,20,10,1
445,1,2,1,0
657,9,29,3,1
543,1,4,10,1
278,0,1,4,0
287,1,3,1,0
223,0,6,0,0
952,8,27,5,1
734,3,22,8,1
132,3,5,10,1
249,7,10,9,1
385,4,2,6,1
191,1,0,2,0
244,1,0,0,0
637,8,26,10,1
142,4,0,0,0
93,1,5,1,0
235,10,5,2,1
84,4,2,2,0
394,1,2,2,0
759,8,11,8,1
903,5,5,3,1
269,5,2,1,0
112,7,6,5,1
244,3,1,2,0
469,4,3,5,1
381,1,1,0,0
56,1,2,2,0
153,2,3,1,0
134,2,1,2,0
121,3,3,5,1
601,2,25,5,1
208,2,15,0,1
136,1,3,5,0
133,0,1,0,0
856,6,4,4,1
288,1,2,4,0
122,4,0,4,0
857,2,25,0,1
267,1,4,1,0
691,7,26,10,1
900,7,17,5,1
221,1,4,1,0
193,2,3,1,0
255,1,0,1,0
174,1,2,3,0
521,4,14,8,1
298,3,1,2,0
103,4,3,7,1
954,9,8,6,1
143,0,4,0,0
26,4,1,1,0
73,2,2,0,0
174,1,0,4,1
45,0,1,2,0
492,10,5,3,1
242,3,1,6,0
26,0,0,0,0
637,4,7,9,1
362,8,23,8,1
186,10,28,6,1
880,8,24,10,1
218,2,2,1,0
61,8,7,4,1
110,1,2,0,0
124,9,7,6,1
574,4,27,8,1
638,7,25,9,1
154,2,2,2,0
190,3,26,2,1
135,0,3,0,1
533,4,5,5,1
176,1,6,2,0
849,2,8,1,1
392,7,10,2,1
160,1,2,2,0
760,10,9,7,1
453,1,0,1,0
300,5,3,6,1
